id,nacionalidad,tipo_sonido,cant_jug,fichas_max,salon,game
1,China,STEREO,365,1,Salon 2021,Metal Slug
2,China,STEREO,280,1,Salon 2,Mortal Kombat
3,Philippines,STEREO,414,5,Salon Carreras,Bubble Bobble
4,United States,STEREO,315,3,Salon 6,Mortal Kombat
5,China,STEREO,443,5,Salon 3,Tetris
6,Indonesia,STEREO,481,2,Salon Retro,Mortal Kombat
7,Indonesia,MONO,428,2,Salon 1,Bubble Bobble
8,Japan,MONO,396,2,Salon 1,Space Invaders
9,Russia,MONO,498,5,Salon 2021,Out Run
10,Indonesia,STEREO,320,2,Salon 2021,Virtua Cop
11,China,MONO,278,4,Salon Carreras,Space Invaders
12,Portugal,STEREO,476,1,Salon 6,Frogger
13,Philippines,MONO,124,5,Salon Retro,Tron
14,Indonesia,STEREO,347,2,Salon Carreras,Metal Slug
15,Sweden,STEREO,434,3,Salon 3,Out Run
16,Russia,MONO,306,1,Salon VR,Metal Slug
17,Madagascar,MONO,333,1,Salon 6,Out Run
18,Sweden,MONO,380,2,Salon 2021,Virtua Cop
19,Ethiopia,MONO,105,2,Salon 6,Virtua Cop
20,Brazil,MONO,343,3,Salon 3,Pong
21,China,MONO,225,1,Salon 2,Tron
22,Philippines,STEREO,456,3,Salon 6,Bubble Bobble
23,Belarus,STEREO,415,2,Salon 3,Space Invaders
24,Sri Lanka,STEREO,333,5,Salon 1,Virtua Cop
25,China,STEREO,284,3,Salon VR,Arkanoid
26,Cyprus,STEREO,482,3,Salon Retro,Bubble Bobble
27,Cuba,MONO,196,3,Salon VR,Out Run
28,Sweden,MONO,147,2,Salon Retro,Asteroids
29,Mauritius,STEREO,393,4,Salon 1,Double Dragon
30,France,MONO,480,4,Salon 1,Asteroids
31,Kazakhstan,MONO,309,3,Salon 3,Tron
32,Afghanistan,STEREO,116,3,Salon 3,Pacman
33,China,STEREO,406,1,Salon 3,Street Fighter II
34,Russia,STEREO,301,5,Salon 6,Pacman
35,Indonesia,STEREO,207,4,Salon Retro,Street Fighter II
36,Indonesia,STEREO,469,5,Salon 2021,Asteroids
37,Indonesia,STEREO,239,5,Salon Retro,Pong
38,Philippines,MONO,187,2,Salon 5,Castelvania
39,China,STEREO,392,3,Salon 2021,Galaga
40,Greece,MONO,223,5,Salon 4,Pong
41,Ireland,MONO,420,4,Salon Carreras,Pong
