id,nacionalidad,tipo_sonido,cant_jug,fichas_max,salon,game
1,China,STEREO,1,365,Metal Slug,Salon 2021
2,China,STEREO,1,280,Mortal Kombat,Salon 2
3,Philippines,STEREO,5,414,Bubble Bobble,Salon Carreras
4,United States,STEREO,3,315,Mortal Kombat,Salon 6
5,China,STEREO,5,443,Tetris,Salon 3
6,Indonesia,STEREO,2,481,Mortal Kombat,Salon Retro
7,Indonesia,MONO,2,428,Bubble Bobble,Salon 1
8,Japan,MONO,2,396,Space Invaders,Salon 1
9,Russia,MONO,5,498,Out Run,Salon 2021
10,Indonesia,STEREO,2,320,Virtua Cop,Salon 2021
11,China,MONO,4,278,Space Invaders,Salon Carreras
12,Portugal,STEREO,1,476,Frogger,Salon 6
13,Philippines,MONO,5,124,Tron,Salon Retro
14,Indonesia,STEREO,2,347,Metal Slug,Salon Carreras
15,Sweden,STEREO,3,434,Out Run,Salon 3
16,Russia,MONO,1,306,Metal Slug,Salon VR
17,Madagascar,MONO,1,333,Out Run,Salon 6
18,Sweden,MONO,2,380,Virtua Cop,Salon 2021
19,Ethiopia,MONO,2,105,Virtua Cop,Salon 6
20,Brazil,MONO,3,343,Pong,Salon 3
21,China,MONO,1,225,Tron,Salon 2
22,Philippines,STEREO,3,456,Bubble Bobble,Salon 6
23,Belarus,STEREO,2,415,Space Invaders,Salon 3
24,Sri Lanka,STEREO,5,333,Virtua Cop,Salon 1
25,China,STEREO,3,284,Arkanoid,Salon VR
26,Cyprus,STEREO,3,482,Bubble Bobble,Salon Retro
27,Cuba,MONO,3,196,Out Run,Salon VR
28,Sweden,MONO,2,147,Asteroids,Salon Retro
29,Mauritius,STEREO,4,393,Double Dragon,Salon 1
30,France,MONO,4,480,Asteroids,Salon 1
31,Kazakhstan,MONO,3,309,Tron,Salon 3
32,Afghanistan,STEREO,3,116,Pacman,Salon 3
33,China,STEREO,1,406,Street Fighter II,Salon 3
34,Russia,STEREO,5,301,Pacman,Salon 6
35,Indonesia,STEREO,4,207,Street Fighter II,Salon Retro
36,Indonesia,STEREO,5,469,Asteroids,Salon 2021
37,Indonesia,STEREO,5,239,Pong,Salon Retro
38,Philippines,MONO,2,187,Castelvania,Salon 5
39,China,STEREO,3,392,Galaga,Salon 2021
40,Greece,MONO,5,223,Pong,Salon 4
41,Ireland,MONO,4,420,Pong,Salon Carreras
42,Greece,MONO,1,295,Tron,Salon 5
43,Philippines,STEREO,5,496,Metal Slug,Salon 5
44,Russia,MONO,5,151,Tetris,Salon Carreras
45,Indonesia,STEREO,3,315,Virtua Cop,Salon 6
46,China,STEREO,4,456,Star Wars,Salon 5
47,China,STEREO,1,484,Virtua Cop,Salon 2
48,Indonesia,MONO,3,372,Galaga,Salon 1
49,Colombia,MONO,1,130,Double Dragon,Salon 2021
50,Portugal,MONO,4,294,Bubble Bobble,Salon 3
51,Uganda,MONO,3,303,Pong,Salon 5
52,Paraguay,MONO,2,107,Space Invaders,Salon 5
53,Indonesia,STEREO,4,442,Mortal Kombat,Salon 3
54,Greece,MONO,2,454,Virtua Cop,Salon 2021
55,Iran,MONO,2,469,Galaga,Salon VR
56,Philippines,MONO,1,389,Out Run,Salon 3
57,Madagascar,MONO,3,412,Tetris,Salon 5
58,China,MONO,3,338,Arkanoid,Salon Carreras
59,Philippines,STEREO,4,303,Tetris,Salon Carreras
60,Uruguay,STEREO,2,380,Out Run,Salon 6
61,Ireland,MONO,3,197,Tron,Salon 1
62,China,STEREO,5,454,Pacman,Salon 1
63,Bangladesh,STEREO,1,339,Mortal Kombat,Salon 4
64,Japan,MONO,3,260,Virtua Cop,Salon 2
65,Indonesia,MONO,4,260,Castelvania,Salon 1
66,Brazil,MONO,1,275,Space Invaders,Salon 2
67,Colombia,STEREO,1,136,Tetris,Salon 6
68,Indonesia,STEREO,1,389,Virtua Cop,Salon Carreras
69,Russia,MONO,5,113,Tron,Salon 1
70,Albania,STEREO,4,376,Galaga,Salon VR
71,Micronesia,STEREO,5,415,Out Run,Salon VR
72,Ecuador,STEREO,3,169,Metal Slug,Salon Carreras
73,China,MONO,4,167,Asteroids,Salon 2
74,Sri Lanka,STEREO,2,307,Metal Slug,Salon Carreras
75,Argentina,MONO,3,178,Out Run,Salon 1
76,China,STEREO,4,141,Out Run,Salon 2021
77,Poland,STEREO,3,122,Asteroids,Salon 3
78,Colombia,STEREO,3,227,Galaga,Salon 1
79,China,MONO,4,360,Pacman,Salon 6
80,Czech Republic,MONO,4,385,Castelvania,Salon Carreras
81,Russia,STEREO,3,276,Tetris,Salon Retro
82,New Zealand,STEREO,4,206,Virtua Cop,Salon 6
83,China,MONO,1,332,Bubble Bobble,Salon 5
84,Honduras,MONO,5,389,Star Wars,Salon 3
85,China,MONO,2,148,Castelvania,Salon 2021
86,Philippines,MONO,1,353,Galaga,Salon 6
87,Poland,STEREO,1,161,Arkanoid,Salon 2
88,Philippines,STEREO,1,237,Out Run,Salon Carreras
89,Bahrain,MONO,1,176,Mortal Kombat,Salon 1
90,Morocco,MONO,1,309,Star Wars,Salon 6
91,Indonesia,STEREO,4,433,Street Fighter II,Salon Retro
92,Sweden,STEREO,2,360,Star Wars,Salon 3
93,Philippines,STEREO,3,120,Arkanoid,Salon Retro
94,China,STEREO,5,442,Bubble Bobble,Salon Retro
95,United States,MONO,2,218,Arkanoid,Salon 6
96,China,MONO,1,388,Out Run,Salon Carreras
